	Tissue	Expressed_genes	Expressed_genes_percent
0	Testis	206	0.8373983739837398
1	Pituitary	197	0.8008130081300813
2	Brain_Nucleus_accumbens_basal_ganglia	195	0.7926829268292683
3	Brain_Hypothalamus	195	0.7926829268292683
4	Brain_Frontal_Cortex_BA9	195	0.7926829268292683
5	Brain_Cortex	195	0.7926829268292683
6	Brain_Caudate_basal_ganglia	193	0.7845528455284553
7	Brain_Anterior_cingulate_cortex_BA24	191	0.7764227642276422
8	Lung	190	0.7723577235772358
9	Brain_Amygdala	189	0.7682926829268293
10	Brain_Putamen_basal_ganglia	188	0.7642276422764228
11	Fallopian_Tube	187	0.7601626016260162
12	Brain_Hippocampus	187	0.7601626016260162
13	Prostate	187	0.7601626016260162
14	Cervix_Endocervix	186	0.7560975609756098
15	Vagina	186	0.7560975609756098
16	Breast_Mammary_Tissue	185	0.7520325203252033
17	Brain_Cerebellum	185	0.7520325203252033
18	Cervix_Ectocervix	184	0.7479674796747967
19	Small_Intestine_Terminal_Ileum	184	0.7479674796747967
20	Brain_Substantia_nigra	184	0.7479674796747967
21	Nerve_Tibial	183	0.7439024390243902
22	Thyroid	183	0.7439024390243902
23	Adipose_Subcutaneous	181	0.7357723577235772
24	Artery_Coronary	180	0.7317073170731707
25	Brain_Cerebellar_Hemisphere	179	0.7276422764227642
26	Colon_Transverse	179	0.7276422764227642
27	Bladder	179	0.7276422764227642
28	Skin_Sun_Exposed_Lower_leg	178	0.7235772357723578
29	Adipose_Visceral_Omentum	177	0.7195121951219512
30	Ovary	176	0.7154471544715447
31	Spleen	175	0.7113821138211383
32	Artery_Tibial	175	0.7113821138211383
33	Skin_Not_Sun_Exposed_Suprapubic	175	0.7113821138211383
34	Uterus	175	0.7113821138211383
35	Brain_Spinal_cord_cervical_c-1	175	0.7113821138211383
36	Stomach	173	0.7032520325203252
37	Esophagus_Gastroesophageal_Junction	172	0.6991869918699187
38	Kidney_Medulla	172	0.6991869918699187
39	Colon_Sigmoid	172	0.6991869918699187
40	Adrenal_Gland	172	0.6991869918699187
41	Minor_Salivary_Gland	171	0.6951219512195121
42	Esophagus_Muscularis	171	0.6951219512195121
43	Kidney_Cortex	170	0.6910569105691057
44	Heart_Atrial_Appendage	170	0.6910569105691057
45	Artery_Aorta	169	0.6869918699186992
46	Esophagus_Mucosa	165	0.6707317073170732
47	Pancreas	164	0.6666666666666666
48	Liver	162	0.6585365853658537
49	Heart_Left_Ventricle	158	0.6422764227642277
50	Muscle_Skeletal	156	0.6341463414634146
51	Cells_Cultured_fibroblasts	156	0.6341463414634146
52	Cells_EBV-transformed_lymphocytes	150	0.6097560975609756
53	Whole_Blood	141	0.573170731707317
